,BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
Tulip Finance,-3.21,  new,0.00%,-%,* -,10.00,23.07,0.00,1,-,-,-,NA,NA,NA,Tulip Finance,NA,NA,NA
Tulip Star Hotl,-9.90,  new,0.00%,-%,-,10.00,59.12,23.97,1,-,-,-,71.50,46.10,52.00,Tulip Star Hotl,NA,NA,NA
Tulive Develop,254.42,  new,0.00%,-%,26.30,10.00,27.65,58.00,1,6.32,6.33,0.65,196.45,151.65,166.45,Tulive Develop,NA,NA,NA
Tulsyan NEC,2.71,  new,0.00%,-%,-,10.00,18.00,0.00,1,-,-,-,NA,NA,NA,Tulsyan NEC,NA,NA,NA
Tutis Tech,4.39,  new,0.00%,-%,-,10.00,18.51,0.00,1,-,-,-,NA,NA,NA,Tutis Tech,NA,NA,NA
Twilight Litaka,-51.03,  new,0.00%,-%,-,5.00,29.58,0.00,1,-,-,-,NA,NA,NA,Twilight Litaka,NA,NA,NA
Twin Cities,,,,,,,,,,,,,,,,Twin Cities,,,
Twinstar Ind,10.63, 100 new,0.00%,-%,0.12,10.00,18.51,2.70,1,2.11,10.00,0.11,2.35,1.11,1.20,Twinstar Ind,NA,NA,NA
UB Engineering,-226.61,  new,0.00%,-%,-,10.00,31.07,0.00,1,-,-,-,NA,NA,NA,UB Engineering,NA,NA,NA
UCIL Leasing,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,UCIL Leasing,NA,NA,NA
UMI Special Stl,-51.25,  new,0.00%,-%,* -,0.00,-,0.00,1,-,-,-,NA,NA,NA,UMI Special Stl,NA,NA,NA
UT,-67.46,  new,0.00%,-%,-,10.00,27.65,0.00,1,-,-,-,NA,NA,NA,UT,NA,NA,NA
UTI Units 1992,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,UTI Units 1992,NA,NA,NA
