,BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
Druckgrafen Ind,10.00,  new,0.00%,-%,* -,10.00,23.36,0.00,1,-,-,-,NA,NA,NA,Druckgrafen Ind,NA,NA,NA
Duck Tarpaulins,7.63,  new,0.00%,-%,-,0.00,2.00,0.00,100,-,-,-,NA,NA,NA,Duck Tarpaulins,NA,NA,NA
Ducon Infratech,3.43, 70.16 new,0.00%,-%,0.09,1.00,33.50,255.27,1,162.75,361.67,9.49,92.10,12.75,32.55,Ducon Infratech,91.95,12.85,32.30
Dujodwala Paper,48.66,  new,0.00%,-%,0.01,10.00,29.64,0.00,1,-,-,-,NA,NA,NA,Dujodwala Paper,NA,NA,NA
Dupont Sports,-32.28,  new,0.00%,-%,-,10.00,32.53,0.00,100,-,-,-,NA,NA,NA,Dupont Sports,NA,NA,NA
Dutron Polymers,28.59, 100 new,14.00%,1.03%,3.05,10.00,63.54,81.60,1,24.20,44.59,4.76,176.70,78.20,136.00,Dutron Polymers,NA,NA,NA
Dynamatic Tech,446.57, 84.69 new,0.00%,-%,11.96,10.00,174.81,"1,500.96",1,38.76,197.90,5.30,3650.00,2320.00,2366.90,Dynamatic Tech,3655.80,2326.05,2370.90
Dynavision,-44.17, 100 new,0.00%,-%,9.68,10.00,6.16,24.96,100,6.69,6.71,-,65.00,26.65,65.00,Dynavision,NA,NA,NA
E-Serve Intl,NA,  new,NA,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,E-Serve Intl,NA,NA,NA
E.Star Info,5.54,  new,0.00%,-%,-,2.00,18.17,0.00,1,-,-,-,NA,NA,NA,E.Star Info,NA,NA,NA
ECE Industries,181.96, 14.82 new,0.00%,-%,-,10.00,52.97,0.00,1,-,-,1.15,NA,NA,NA,ECE Industries,376.90,206.30,210.00
EIH Assoc Hotel,92.58, 92.20 new,40.00%,1.15%,14.04,10.00,59.12,"1,063.34",1,18.66,24.86,3.77,449.00,259.90,349.00,EIH Assoc Hotel,413.00,256.30,346.30
ESCMFgrow,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,ESCMFgrow,NA,NA,NA
ETT,32.24,  new,0.00%,-%,0.02,10.00,43.78,0.00,1,-,-,-,NA,NA,NA,ETT,NA,NA,NA
East Buildtech,32.63,  new,0.00%,-%,-,10.00,35.29,0.00,100,-,-,-,NA,NA,NA,East Buildtech,NA,NA,NA
East West Trav,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,East West Trav,NA,NA,NA
East West Trave,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,East West Trave,NA,NA,NA
Eastern Circuit,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Eastern Circuit,NA,NA,NA
Eastern Gases,22.81, 84.77 new,2.00%,0.26%,0.10,10.00,30.96,116.85,1,106.71,779.00,3.42,87.45,23.10,77.90,Eastern Gases,NA,NA,NA
Eastern Mining,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Eastern Mining,NA,NA,NA
Eco Friendly,1.47,  new,0.00%,-%,* -,1.00,321.56,558.45,2000,-,-,15.34,27.85,15.75,22.55,Eco Friendly,NA,NA,NA
Eco Recycling,17.12, 26.17 new,0.00%,-%,-,10.00,18.51,85.52,1,-,-,2.85,56.20,34.05,48.75,Eco Recycling,NA,NA,NA
Effingo Textile,1.24,  new,0.00%,-%,0.01,1.00,23.65,0.00,1,-,-,-,NA,NA,NA,Effingo Textile,NA,NA,NA
Eimco Elecon,482.74, 87.83 new,50.00%,0.82%,43.50,10.00,31.07,351.87,1,11.63,14.02,1.26,700.00,311.00,610.00,Eimco Elecon,700.00,329.20,611.55
Elar Fashions,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Elar Fashions,NA,NA,NA
Eldeco Housing,440.54, 75.00 new,100.00%,1.11%,46.20,10.00,35.29,177.62,1,18.80,19.55,2.05,1015.00,378.75,903.20,Eldeco Housing,NA,NA,NA
Elder Pharma,382.51,  new,0.00%,-%,-,10.00,29.58,0.00,1,-,-,-,NA,NA,NA,Elder Pharma,NA,NA,NA
Electra (India),-28.35,  new,0.00%,-%,* -,10.00,9.48,0.00,50,-,-,-,NA,NA,NA,Electra (India),NA,NA,NA
Electrosteel,58.43, 53.32 new,50.00%,1.55%,2.17,1.00,29.10,"1,151.18",1,8.16,14.86,0.55,40.60,20.00,32.25,Electrosteel,40.65,20.40,32.25
Electrotherm,-1020.32, 100 new,0.00%,-%,-,10.00,27.65,305.76,1,3.56,-,-,308.80,73.60,239.95,Electrotherm,308.00,72.15,241.10
Elegant Flori,10.62,  new,0.00%,-%,0.46,10.00,7.43,0.00,1,-,-,-,NA,NA,NA,Elegant Flori,NA,NA,NA
Elgi Auto Parts,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Elgi Auto Parts,NA,NA,NA
Elixir Cap,29.55, 100 new,12.50%,3.24%,0.05,10.00,39.26,22.40,1,772.00,772.00,1.31,49.90,32.20,38.60,Elixir Cap,NA,NA,NA
Ellenbarrie Ind,-5.40,  new,0.00%,-%,-,10.00,35.12,0.00,1,-,-,-,NA,NA,NA,Ellenbarrie Ind,NA,NA,NA
Ellora Steel,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Ellora Steel,NA,NA,NA
Elnet,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Elnet,NA,NA,NA
Emami Infra,10.73, 68.44 new,0.00%,-%,6.36,2.00,35.29,401.53,1,25.42,25.98,15.40,183.10,51.05,165.25,Emami Infra,183.80,47.70,164.40
Emgee Cables,31.70, 100 new,0.00%,-%,1.38,10.00,20.86,10.78,100,7.50,14.46,0.63,24.00,8.18,19.95,Emgee Cables,NA,NA,NA
Emkay Aromatics,5.72,  new,0.00%,-%,-,10.00,22.88,0.00,1,-,-,-,NA,NA,NA,Emkay Aromatics,NA,NA,NA
Emkay Ind,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Emkay Ind,NA,NA,NA
Emmbi Ind,48.44, 82.84 new,5.00%,0.26%,7.21,10.00,33.56,335.58,1,19.82,26.31,3.92,209.20,108.15,189.70,Emmbi Ind,209.75,103.10,191.10
Emporis Project,83.58,  new,0.00%,-%,0.01,10.00,27.12,0.00,1,-,-,-,NA,NA,NA,Emporis Project,NA,NA,NA
Encash Ent,24.28,  new,0.00%,-%,* -,10.00,43.78,0.00,3000,-,-,-,NA,NA,NA,Encash Ent,NA,NA,NA
Enchante Jewel,-7.24,  new,0.00%,-%,* -,10.00,36.40,0.00,1,-,-,-,NA,NA,NA,Enchante Jewel,NA,NA,NA
Endurance Techn,111.12, 46.15 new,3.75%,0.04%,15.75,10.00,37.22,"12,848.14",1,33.08,57.99,8.22,950.90,472.00,913.40,Endurance Techn,951.00,472.00,917.10
Enjayes Natural,0.14,  new,0.00%,-%,* -,10.00,23.99,0.00,100,-,-,-,NA,NA,NA,Enjayes Natural,NA,NA,NA
Enkei Wheels,21.13, 78.04 new,0.00%,-%,2.83,5.00,27.79,626.83,1,24.16,148.89,19.94,464.00,144.00,421.35,Enkei Wheels,NA,NA,NA
Ennore Coke,-124.82, 100 new,0.00%,-%,-,10.00,10.65,5.89,1,-,-,-,9.27,2.90,3.80,Ennore Coke,NA,NA,NA
Enso Secutrack,23.62,  new,0.00%,-%,-,10.00,5.88,0.00,1,-,-,-,NA,NA,NA,Enso Secutrack,NA,NA,NA
Ent Network Ind,172.71, 50.67 new,10.00%,0.11%,11.43,10.00,43.78,"4,309.41",1,39.88,79.09,5.23,1008.00,667.00,904.00,Ent Network Ind,1005.00,677.15,905.35
Enviro-Clean,-9.21,  new,0.00%,-%,-,10.00,21.99,0.00,100,-,-,-,NA,NA,NA,Enviro-Clean,NA,NA,NA
Eonour Tech,11.41,  new,0.00%,-%,-,2.00,20.61,0.00,1,-,-,-,NA,NA,NA,Eonour Tech,NA,NA,NA
Epic Enzymers,-22.52,  new,0.00%,-%,-,10.00,39.52,0.00,1,-,-,-,NA,NA,NA,Epic Enzymers,NA,NA,NA
Era Buildsys,6.32,  new,0.00%,-%,-,2.00,28.68,0.00,1,-,-,-,NA,NA,NA,Era Buildsys,NA,NA,NA
Eros Intl,139.78, 40.23 new,0.00%,-%,13.81,10.00,43.78,"2,214.86",1,16.32,16.98,1.68,308.40,150.15,234.50,Eros Intl,308.45,142.00,234.40
Esquire Enginee,NA,  new,0.00%,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,Esquire Enginee,NA,NA,NA
Essar Shipping,217.64, 76.30 new,0.00%,-%,-,10.00,14.21,594.02,1,33.37,-,0.13,36.75,24.30,28.70,Essar Shipping,36.70,22.90,28.85
Europlast India,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Europlast India,NA,NA,NA
Evergreen Tex,-13.63,  new,0.00%,-%,-,10.00,10.82,6.00,100,-,-,-,12.50,0.85,12.50,Evergreen Tex,NA,NA,NA
Everlon Synth,1.04, 100 new,0.00%,-%,0.02,1.00,24.04,13.44,1,39.83,119.50,2.30,2.64,1.35,2.39,Everlon Synth,NA,NA,NA
Exelon Infra,12.24,  new,0.00%,-%,-,5.00,35.29,0.00,1,-,-,-,NA,NA,NA,Exelon Infra,NA,NA,NA
Expo Gas Cont,11.95, 100 new,0.00%,-%,0.06,4.00,27.65,20.56,1,27.00,180.00,0.90,14.29,5.26,10.80,Expo Gas Cont,NA,NA,NA
FCI OEN,350.98,  new,0.00%,-%,54.58,10.00,21.85,0.00,1,-,-,-,NA,NA,NA,FCI OEN,NA,NA,NA
FE (India),52.59,  new,1.00%,-%,-,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,FE (India),NA,NA,NA
FGP,2.77,  new,0.00%,-%,-,10.00,36.51,2.03,1,-,-,0.62,3.01,1.45,1.71,FGP,NA,NA,NA
Facor Steels,-3.85,  new,0.00%,-%,-,1.00,15.09,0.00,1,-,-,-,NA,NA,NA,Facor Steels,NA,NA,NA
Fairdeal Trade ,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Fairdeal Trade ,NA,NA,NA
Farry Ind,15.25,  new,0.00%,-%,0.68,10.00,39.26,1.37,1,6.71,6.71,0.30,5.99,3.41,4.56,Farry Ind,NA,NA,NA
Federal-Mogul,101.09, 57.50 new,0.00%,-%,12.94,10.00,37.00,"3,011.65",1,20.30,41.84,5.36,650.80,352.00,541.35,Federal-Mogul,651.00,351.05,542.60
Fem Care Pharma,168.67,  new,0.00%,-%,52.98,10.00,39.46,0.00,1,-,-,-,NA,NA,NA,Fem Care Pharma,NA,NA,NA
Fernhill Ind,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Fernhill Ind,NA,NA,NA
Fert and Chem,-23.12, 100 new,0.00%,-%,-,10.00,17.49,"2,623.87",1,-,-,-,63.65,20.40,40.55,Fert and Chem,63.80,19.30,40.05
Fervent Synergi,13.58, 94.15 new,0.00%,-%,0.80,10.00,29.58,66.90,1,27.53,27.88,1.64,35.30,17.25,22.30,Fervent Synergi,NA,NA,NA
Fidelity Fin,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Fidelity Fin,NA,NA,NA
Filaments India,-7.67,  new,0.00%,-%,* -,10.00,10.15,0.00,1,-,-,-,NA,NA,NA,Filaments India,NA,NA,NA
Filatex Fashion,11.42, 100 new,0.00%,-%,-,5.00,42.20,11.56,1,14.21,-,0.35,12.23,3.41,3.98,Filatex Fashion,NA,NA,NA
Filatex India,57.31, 55.48 new,0.00%,-%,9.47,10.00,19.09,600.95,1,8.61,14.59,2.41,166.00,60.10,138.15,Filatex India,159.90,60.00,138.65
Finaventure Cap,-0.90,  new,0.00%,-%,-,10.00,29.58,0.00,1,-,-,-,NA,NA,NA,Finaventure Cap,NA,NA,NA
Fineline Cir,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Fineline Cir,NA,NA,NA
Firstobject Tec,29.72, 91.87 new,0.00%,-%,0.11,10.00,18.51,17.27,1,17.47,150.91,0.56,20.10,7.01,16.60,Firstobject Tec,NA,NA,NA
Firstsource Sol,29.33, 70.47 new,0.00%,-%,2.76,10.00,17.90,"2,413.79",1,11.64,12.83,1.21,49.40,30.40,35.40,Firstsource Sol,49.40,30.35,35.40
Fischer Inorg,-0.30,  new,0.00%,-%,-,10.00,17.90,0.00,1,-,-,-,NA,NA,NA,Fischer Inorg,NA,NA,NA
Fleetweld,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Fleetweld,NA,NA,NA
Flex Foods,61.13, 81.30 new,25.00%,1.92%,6.31,10.00,55.93,162.16,1,12.76,20.64,2.13,147.80,80.20,130.25,Flex Foods,NA,NA,NA
Flower & Tissue,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Flower & Tissue,NA,NA,NA
Fluidomat,60.28, 86.29 new,25.00%,1.33%,5.58,10.00,27.65,92.36,1,26.89,33.59,3.11,237.95,157.00,187.45,Fluidomat,NA,NA,NA
Forbes Gokak,181.47, 69.19 new,0.00%,-%,74.90,10.00,10.59,"2,112.21",1,20.59,21.86,9.02,2695.00,1256.00,1637.55,Forbes Gokak,NA,NA,NA
Fortune Infosys,,,,,,,,,,,,,,,,Fortune Infosys,,,
Fortune Intl,-0.98,  new,0.00%,-%,-,10.00,51.24,0.00,1,-,-,-,NA,NA,NA,Fortune Intl,NA,NA,NA
Forward Sec,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Forward Sec,NA,NA,NA
Foseco India,194.67, 63.12 new,230.00%,1.65%,46.71,10.00,29.64,888.01,1,25.46,29.77,7.14,1570.00,1233.00,1390.45,Foseco India,1660.00,1234.00,1388.30
Four Dimens,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Four Dimens,NA,NA,NA
Frontier Spring,66.34, 89.53 new,0.00%,-%,5.37,10.00,19.53,28.51,1,7.56,13.48,1.09,74.90,26.10,72.40,Frontier Spring,NA,NA,NA
Frontline Sec,60.75, 100 new,5.00%,0.83%,6.26,10.00,39.26,43.12,1,9.51,9.58,0.99,63.00,16.60,60.00,Frontline Sec,NA,NA,NA
Fruition Vent,13.61,  new,0.00%,-%,0.26,10.00,51.24,5.50,1,49.11,52.88,1.01,20.80,10.85,13.75,Fruition Vent,NA,NA,NA
Fulford,384.16,  new,15.00%,-%,-,10.00,31.17,0.00,1,-,-,-,NA,NA,NA,Fulford,NA,NA,NA
Fusion Fittings,18.16,  new,0.00%,-%,* -,1.00,51.24,0.00,1,-,-,-,NA,NA,NA,Fusion Fittings,NA,NA,NA
Futuristic Sol,13.93, 100 new,5.00%,1.00%,0.47,10.00,39.26,52.42,1,94.43,106.49,3.59,75.00,37.00,50.05,Futuristic Sol,NA,NA,NA
G Claridge,NA,  new,0.00%,-%,-,NA,-,0.00,50,-,-,-,NA,NA,NA,G Claridge,NA,NA,NA
G.D. Trading,-17.64,  new,0.00%,-%,-,10.00,32.00,0.00,50,-,-,-,NA,NA,NA,G.D. Trading,NA,NA,NA
GAIL,180.84, 46.53 new,55.00%,1.45%,20.71,10.00,12.97,"64,227.24",1,13.11,18.34,2.10,534.40,269.25,379.75,GAIL,433.70,268.31,379.95
GCCL Infrastruc,9.63,  new,0.00%,-%,0.01,10.00,23.93,0.00,100,-,-,-,NA,NA,NA,GCCL Infrastruc,NA,NA,NA
GCM Securities,2.12,  new,0.00%,-%,* -,1.00,39.26,0.00,1600,-,-,-,NA,NA,NA,GCM Securities,NA,NA,NA
GDL Leasing,10.44,  new,0.00%,-%,0.03,10.00,26.39,0.00,1,-,-,-,NA,NA,NA,GDL Leasing,NA,NA,NA
GEI Industrial,26.11,  new,0.00%,-%,-,10.00,27.65,0.00,1,-,-,-,NA,NA,NA,GEI Industrial,NA,NA,NA
GG Dandekar,30.04, 93.54 new,0.00%,-%,-,1.00,27.65,27.81,1,-,-,1.94,62.55,48.00,58.40,GG Dandekar,NA,NA,NA
GIC Rise 91 MIS,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,GIC Rise 91 MIS,NA,NA,NA
GIL Hospitals,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,GIL Hospitals,NA,NA,NA
GKN Invel Trans,NA,  new,0.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,GKN Invel Trans,NA,NA,NA
GMS Industries,NA,  new,NA,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,GMS Industries,NA,NA,NA
GOM Industries,-2.14,  new,0.00%,-%,-,10.00,19.51,0.00,1,-,-,-,NA,NA,NA,GOM Industries,NA,NA,NA
GPT Infra,54.91, 47.32 new,10.00%,0.81%,3.60,10.00,28.11,359.79,1,15.60,34.36,2.25,299.85,121.00,123.70,GPT Infra,153.50,96.30,122.85
GSL Nova Petro,-25.75, 100 new,0.00%,-%,-,5.00,19.09,3.83,1,-,-,-,2.43,0.51,1.42,GSL Nova Petro,NA,NA,NA
GTCL Mobile,-0.46,  new,0.00%,-%,-,10.00,20.26,0.00,1,-,-,-,NA,NA,NA,GTCL Mobile,NA,NA,NA
GTL Infra,3.35, 37.96 new,0.00%,-%,-,10.00,21.56,"3,205.57",1,-,-,2.30,8.60,2.07,7.72,GTL Infra,8.65,2.05,7.75
GTPL Hathway,NA, 42.47 new,NA,-%,-,NA,-,"1,758.36",NA,-,-,-,190.30,150.20,156.35,GTPL Hathway,198.10,150.00,156.60
Gagan Polycot,14.38, 100 new,0.00%,-%,0.90,10.00,24.04,3.10,1,2.77,3.44,0.22,4.51,2.50,3.10,Gagan Polycot,NA,NA,NA
Galada Finance,20.26,  new,0.00%,-%,0.79,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Galada Finance,NA,NA,NA
Gandhi Spl Tube,121.91, 79.39 new,180.00%,2.80%,20.23,5.00,20.73,472.49,1,13.81,15.89,2.64,372.75,280.00,321.45,Gandhi Spl Tube,374.70,276.50,318.85
Ganesh Benzo,-4.62, 60.93 new,0.00%,-%,2.78,1.00,22.08,351.62,1,13.86,24.42,-,71.95,31.00,67.90,Ganesh Benzo,NA,NA,NA
Ganesha Ecosph,120.00, 81.66 new,12.00%,0.34%,15.61,10.00,24.04,669.18,1,13.28,22.35,2.91,409.00,162.00,348.95,Ganesha Ecosph,408.50,163.00,350.25
Gangadharan App,-13.87,  new,0.00%,-%,16.25,10.00,48.54,0.00,100,-,-,-,NA,NA,NA,Gangadharan App,NA,NA,NA
Gangotri Cement,8.61,  new,0.00%,-%,-,10.00,45.64,0.00,100,-,-,-,NA,NA,NA,Gangotri Cement,NA,NA,NA
Ganon Trading,11.23,  new,0.00%,-%,0.05,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Ganon Trading,NA,NA,NA
Garbi Finvest,49.09,  new,0.00%,-%,-,10.00,35.29,25.34,1,-,-,0.44,23.70,20.60,21.60,Garbi Finvest,NA,NA,NA
Garware Wall,205.29, 57.86 new,0.00%,-%,38.05,10.00,23.65,"1,957.35",1,20.10,23.51,4.36,994.40,447.00,894.50,Garware Wall,994.85,447.50,898.50
Gaylord Ind,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gaylord Ind,NA,NA,NA
Gemini Agritech,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gemini Agritech,NA,NA,NA
Gemstone Inv,3.06,  new,0.00%,-%,0.08,1.00,39.26,6.13,1,9.11,10.25,0.27,0.82,0.32,0.82,Gemstone Inv,NA,NA,NA
Genelec,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Genelec,NA,NA,NA
Genesis Develop,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Genesis Develop,NA,NA,NA
Genesys Int,76.77, 54.11 new,2.50%,0.05%,6.10,5.00,18.51,753.46,1,29.82,40.29,3.20,279.00,55.00,245.75,Genesys Int,279.50,54.30,245.65
Genomic Valley,14.71,  new,0.00%,-%,-,10.00,60.14,3.05,1,-,-,0.68,10.00,10.00,10.00,Genomic Valley,NA,NA,NA
Genuine Commod,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Genuine Commod,NA,NA,NA
Genus Paper,12.60, 69.24 new,0.00%,-%,0.31,1.00,11.71,141.68,1,6.89,17.77,0.44,7.54,3.71,5.51,Genus Paper,7.55,3.75,5.55
Genus Power,27.90, 61.82 new,25.00%,0.50%,2.19,1.00,25.89,"1,288.49",1,18.02,22.88,1.80,56.75,32.70,50.10,Genus Power,56.50,32.75,50.05
Gilada Finance,41.36, 100 new,0.00%,-%,3.14,10.00,39.26,10.43,1,9.28,9.46,0.72,32.85,10.64,29.70,Gilada Finance,NA,NA,NA
Girish Hotel,10.20,  new,0.00%,-%,* -,10.00,41.40,0.00,100,-,-,-,NA,NA,NA,Girish Hotel,NA,NA,NA
Girish Travels ,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Girish Travels ,NA,NA,NA
Gita Renewable ,57.89,  new,0.00%,-%,-,10.00,14.55,4.54,1,11.88,-,0.19,22.05,10.00,11.05,Gita Renewable ,NA,NA,NA
Gitanjali Gems,253.04, 35.28 new,5.00%,0.79%,2.88,10.00,18.79,753.80,1,14.85,22.07,0.25,93.60,38.00,63.55,Gitanjali Gems,93.60,38.05,63.65
Glenmark,334.07, 32.17 new,200.00%,0.28%,67.16,1.00,29.58,"20,255.44",1,10.13,10.69,2.15,993.00,600.00,717.85,Glenmark,994.00,600.00,717.45
Global Exhibit,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Global Exhibit,NA,NA,NA
Global Ind,-9.59,  new,0.00%,-%,-,10.00,20.83,0.00,100,-,-,-,NA,NA,NA,Global Ind,NA,NA,NA
Global Knitfab ,-87.15,  new,0.00%,-%,-,10.00,17.69,0.00,100,-,-,-,NA,NA,NA,Global Knitfab ,NA,NA,NA
Global Trust,NA,  new,NA,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,Global Trust,NA,NA,NA
Global e-Soluti,18.00,  new,0.00%,-%,7.54,10.00,24.00,0.00,1,-,-,-,NA,NA,NA,Global e-Soluti,NA,NA,NA
Globe Commercia,19.82,  new,0.00%,-%,-,10.00,51.24,7.20,1,-,-,1.21,24.00,10.00,24.00,Globe Commercia,NA,NA,NA
Globe Stocks,10.99,  new,0.00%,-%,* -,10.00,19.75,0.00,1,-,-,-,NA,NA,NA,Globe Stocks,NA,NA,NA
Globsyn Tech,,,,,,,,,,,,,,,,Globsyn Tech,,,
Globus Corp,0.03,  new,0.00%,-%,-,2.00,27.79,0.00,1,-,-,-,NA,NA,NA,Globus Corp,NA,NA,NA
Glofame Cotspin,2.91,  new,0.00%,-%,5.99,0.00,37.65,0.00,1,-,-,-,NA,NA,NA,Glofame Cotspin,NA,NA,NA
Goa Carbon,86.07, 100 new,15.00%,0.52%,15.69,10.00,18.98,266.07,1,16.37,18.53,3.38,383.00,85.10,290.75,Goa Carbon,383.90,86.10,292.25
Goa Fruit,10.00,  new,0.00%,-%,* -,10.00,52.36,0.00,100,-,-,-,NA,NA,NA,Goa Fruit,NA,NA,NA
Godavari Fert,41.95,  new,40.00%,-%,25.56,10.00,14.91,0.00,1,-,-,-,NA,NA,NA,Godavari Fert,NA,NA,NA
Godrej Boyce,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Godrej Boyce,NA,NA,NA
Gogia Capital,48.20,  new,0.00%,-%,2.94,10.00,39.26,7.87,1,6.87,8.50,0.52,48.90,25.00,25.00,Gogia Capital,NA,NA,NA
Gokak Textiles,-105.87,  new,0.00%,-%,-,10.00,23.65,26.81,1,-,-,-,60.00,32.25,41.25,Gokak Textiles,NA,NA,NA
Gold Coin Healt,12.35,  new,0.00%,-%,0.29,10.00,55.93,4.31,1,39.86,49.48,1.16,20.45,9.06,14.35,Gold Coin Healt,NA,NA,NA
Golden Legend,10.05,  new,0.00%,-%,-,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Golden Legend,NA,NA,NA
Golden Tobacco,-106.03,  new,0.00%,-%,-,10.00,34.73,98.61,1,-,-,-,86.05,40.00,56.00,Golden Tobacco,85.80,39.05,56.00
Goldiam Inter,82.05, 63.55 new,25.00%,2.96%,6.81,10.00,18.79,210.92,1,11.20,12.42,1.03,99.30,54.20,84.55,Goldiam Inter,99.80,54.10,84.85
Goldstar Straw,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Goldstar Straw,NA,NA,NA
Goldstone Tech,25.81, 97.44 new,0.00%,-%,-,10.00,18.51,14.74,1,-,-,0.30,18.55,6.01,7.85,Goldstone Tech,18.25,6.00,7.55
Golkunda Diamon,36.01, 100 new,6.00%,3.18%,1.19,10.00,18.79,13.13,1,11.71,15.84,0.52,28.50,16.00,18.85,Golkunda Diamon,NA,NA,NA
Good Value,0.15,  new,0.00%,-%,-,10.00,36.03,0.00,1,-,-,-,NA,NA,NA,Good Value,NA,NA,NA
Gorani Ind,6.18, 100 new,0.00%,-%,0.44,10.00,47.76,6.53,1,14.46,27.27,1.94,16.75,8.45,12.00,Gorani Ind,NA,NA,NA
Gordon Herbert,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gordon Herbert,NA,NA,NA
Grabal Alok Imp,67.54,  new,5.00%,-%,2.29,10.00,18.56,0.00,1,-,-,-,NA,NA,NA,Grabal Alok Imp,NA,NA,NA
Gradiente Info,4.00, 100 new,0.00%,-%,0.10,10.00,43.78,2.86,1,7.94,12.70,0.32,1.78,0.67,1.27,Gradiente Info,NA,NA,NA
Graham Firth,-39.27,  new,0.00%,-%,-,10.00,18.98,0.00,50,-,-,-,NA,NA,NA,Graham Firth,NA,NA,NA
Grapco Mining,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Grapco Mining,NA,NA,NA
Grasim,298.38, 53.37 new,225.00%,0.42%,33.41,2.00,19.70,"49,908.19",1,24.88,32.00,3.58,5348.50,781.80,1069.00,Grasim,1375.00,781.90,1071.40
Gravity India,11.97, 100 new,0.00%,-%,-,10.00,22.67,2.70,1,300.00,-,0.25,5.34,2.73,3.00,Gravity India,NA,NA,NA
Greencrest Fin,1.33, 100 new,0.00%,-%,0.02,1.00,39.26,"2,116.29",1,"2,895.00","2,895.00",43.53,63.95,56.90,57.90,Greencrest Fin,NA,NA,NA
Greenlam Ind,127.38, 73.33 new,20.00%,0.11%,17.79,5.00,44.52,"2,220.55",1,29.00,51.71,7.22,987.00,500.00,920.00,Greenlam Ind,1067.20,561.55,905.05
Greenply Ind,64.18, 52.93 new,60.00%,0.22%,11.01,1.00,32.84,"3,355.09",1,18.28,24.85,4.26,309.00,234.00,273.60,Greenply Ind,308.00,232.70,272.45
Gremach Tea & E,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gremach Tea & E,NA,NA,NA
Gretex Industri,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gretex Industri,25.00,14.50,15.80
