,**MARKET CAP (Rs Cr),BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
Lympha Labs,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Lympha Labs,NA,NA,NA
Lynx India,,NA,  new,NA,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,Lynx India,NA,NA,NA
Lynx Optics Ltd,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Lynx Optics Ltd,NA,NA,NA
Lypsa Gems,,10.68, 12.34 new,0.00%,-%,0.05,10.00,18.79,123.24,1,209.00,836.00,3.91,54.29,40.00,41.80,Lypsa Gems,53.93,32.82,42.00
M.D. Inducto,,22.41, 100 new,0.00%,-%,* -,10.00,18.00,356.50,2000,-,-,6.60,165.00,35.00,148.00,M.D. Inducto,NA,NA,NA
MAC India,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,MAC India,NA,NA,NA
MB Industries,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,MB Industries,NA,NA,NA
MB Parikh Fin,,13.09,  new,0.00%,-%,0.57,10.00,39.26,2.28,1,9.27,13.33,0.58,8.36,3.63,7.60,MB Parikh Fin,NA,NA,NA
MCC Investment,,12.46,  new,0.00%,-%,* -,10.00,21.91,0.00,1,-,-,-,NA,NA,NA,MCC Investment,NA,NA,NA
MFL Housing Fin,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,MFL Housing Fin,NA,NA,NA
MFL India,,0.98, 100 new,0.00%,-%,* -,1.00,57.34,9.73,1,1.13,-,0.28,0.79,0.19,0.27,MFL India,NA,NA,NA
MH Mills,,-13.01,  new,0.00%,-%,-,10.00,16.09,0.00,50,-,-,-,NA,NA,NA,MH Mills,NA,NA,NA
MOIL,,279.63, 51.45 new,50.00%,1.41%,22.96,10.00,10.65,"4,708.19",1,13.06,15.40,1.26,429.00,239.25,353.50,MOIL,428.90,239.20,353.95
MOSt Gold ETF,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,MOSt Gold ETF,NA,NA,NA
MOSt M100 ETF,,NA, 85.16 new,NA,-%,-,NA,-,84.98,NA,-,-,-,20.75,14.05,19.30,MOSt M100 ETF,19.70,14.37,19.07
MP Agro Fert,,9.24,  new,0.00%,-%,-,10.00,16.93,0.00,100,-,-,-,NA,NA,NA,MP Agro Fert,NA,NA,NA
MSP Steel,,19.68, 52.32 new,0.00%,-%,-,10.00,13.79,520.32,1,-,-,0.78,17.73,9.70,15.40,MSP Steel,17.70,9.50,15.40
MTNL,,-46.48, 61.28 new,0.00%,-%,-,10.00,29.08,"1,310.40",1,-,-,-,27.50,15.00,20.80,MTNL,27.45,15.60,20.75
MTZ India,,-3.04,  new,0.00%,-%,0.53,10.00,16.72,0.00,1,-,-,-,NA,NA,NA,MTZ India,NA,NA,NA
MYM Technology,,11.28,  new,0.00%,-%,-,10.00,18.34,0.00,1,-,-,-,NA,NA,NA,MYM Technology,NA,NA,NA
Mackinnon Mack,,-33747.51,  new,0.00%,-%,-,1.00,23.74,0.00,50,-,-,-,NA,NA,NA,Mackinnon Mack,NA,NA,NA
Madalsa Agro,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Madalsa Agro,NA,NA,NA
Madalsa Intl,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Madalsa Intl,NA,NA,NA
Madhav Infra Pr,,111.39,  new,0.00%,-%,11.97,10.00,39.26,6.41,1,0.15,0.84,0.09,10.00,10.00,10.00,Madhav Infra Pr,NA,NA,NA
Madhumilan Fin,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Madhumilan Fin,NA,NA,NA
Madhumilan Syn,,-282.24,  new,0.00%,-%,* -,10.00,16.95,0.00,100,-,-,-,NA,NA,NA,Madhumilan Syn,NA,NA,NA
Madhur Capital,,7.08,  new,0.00%,-%,-,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Madhur Capital,NA,NA,NA
Madhur Housing,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Madhur Housing,NA,NA,NA
Madras Fert,,-32.82, 77.42 new,0.00%,-%,-,10.00,17.49,355.23,1,-,-,-,31.75,11.71,22.05,Madras Fert,31.60,12.00,22.15
Madras M Fin,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Madras M Fin,NA,NA,NA
Madras Petro,,-15.20,  new,NA,-%,* -,0.00,1.90,0.00,50,-,-,-,NA,NA,NA,Madras Petro,NA,NA,NA
Maestros,,-89.01,  new,0.00%,-%,-,10.00,35.94,0.00,1,-,-,-,NA,NA,NA,Maestros,NA,NA,NA
Maestros Elect,,26.17, 100 new,0.00%,-%,-,10.00,25.89,14.29,1,-,-,1.16,42.00,14.60,30.35,Maestros Elect,NA,NA,NA
Mafatlal Spg,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mafatlal Spg,NA,NA,NA
Magic Trading,,11.08,  new,0.00%,-%,-,10.00,31.84,0.00,1,-,-,-,NA,NA,NA,Magic Trading,NA,NA,NA
Magna Colors,,-3.78,  new,0.00%,-%,-,10.00,19.71,0.00,100,-,-,-,NA,NA,NA,Magna Colors,NA,NA,NA
Magnum Fincap,,3.02,  new,0.00%,-%,-,10.00,39.26,2.95,1,-,-,1.54,4.89,4.24,4.65,Magnum Fincap,NA,NA,NA
Magnum Ventures,,-12.35, 60.83 new,0.00%,-%,27.43,10.00,11.71,46.36,1,0.37,0.45,-,23.85,2.52,12.33,Magnum Ventures,22.70,2.50,11.95
Mah Scooters,,283.98, 73.36 new,0.00%,-%,10.73,10.00,23.72,"2,462.86",1,192.24,200.84,7.59,2227.90,1385.60,2155.00,Mah Scooters,2230.80,1384.05,2174.05
Mah Seamless,,362.66, 72.97 new,50.00%,0.62%,21.72,5.00,18.67,"2,693.38",1,12.54,18.51,1.11,434.40,200.00,402.00,Mah Seamless,443.00,194.75,402.95
Maha Rasht Apex,,-53.08, 100 new,0.00%,-%,-,10.00,39.26,82.07,1,-,-,-,146.85,6.23,58.00,Maha Rasht Apex,NA,NA,NA
Mahaganesh Tex,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mahaganesh Tex,NA,NA,NA
Maharashtra Ele,,79.45,  new,40.00%,-%,7.06,10.00,4.38,0.00,50,-,-,-,NA,NA,NA,Maharashtra Ele,NA,NA,NA
Mahavir Impex,,5.17,  new,0.00%,-%,-,5.00,51.24,0.00,1,-,-,-,NA,NA,NA,Mahavir Impex,NA,NA,NA
Mahesh Agri,,36.29,  new,0.00%,-%,14.39,10.00,18.00,0.00,1,-,-,-,NA,NA,NA,Mahesh Agri,NA,NA,NA
Maheshwari Logi,,44.66, 100 new,0.00%,-%,* -,10.00,28.91,0.00,2000,-,-,3.02,NA,NA,NA,Maheshwari Logi,204.35,68.00,135.00
Mahindra CIE,,91.60, 67.25 new,0.00%,-%,1.57,10.00,55.13,"9,496.44",1,72.80,159.97,2.74,260.35,169.95,251.15,Mahindra CIE,260.80,170.50,250.35
Mahindra Holida,,50.66, 54.22 new,50.00%,1.23%,9.80,10.00,59.12,"5,434.09",1,28.42,41.61,8.05,657.90,386.05,407.80,Mahindra Holida,490.00,240.01,407.95
Maithan Alloys,,203.48, 73.81 new,20.00%,0.44%,67.91,10.00,9.11,"1,323.85",1,5.94,6.70,2.23,543.90,201.00,454.75,Maithan Alloys,543.75,205.00,453.50
Maitri,,9.33,  new,0.00%,-%,0.09,10.00,26.06,1.62,1,50.00,94.44,0.91,8.89,5.75,8.50,Maitri,NA,NA,NA
Majestic Ind,,0.08,  new,0.00%,-%,-,10.00,19.36,0.00,100,-,-,-,NA,NA,NA,Majestic Ind,NA,NA,NA
Malabar Buildin,,83.70,  new,20.00%,-%,17.31,10.00,4.87,0.00,1,-,-,-,NA,NA,NA,Malabar Buildin,NA,NA,NA
Malu Paper,,10.39, 62.01 new,0.00%,-%,1.72,10.00,11.71,42.22,1,5.46,14.39,2.38,47.50,14.25,24.75,Malu Paper,47.20,13.20,24.30
Malvica Engg,,7.88,  new,0.00%,-%,-,10.00,25.01,0.00,1,-,-,-,NA,NA,NA,Malvica Engg,NA,NA,NA
Man Industries,,103.89, 55.45 new,30.00%,1.62%,5.72,5.00,20.73,529.06,1,7.27,16.20,0.89,98.80,42.10,92.65,Man Industries,98.90,42.80,93.10
Man Infra,,27.58, 70.35 new,76.50%,2.36%,2.41,2.00,35.29,"1,605.04",1,24.66,26.91,2.35,71.10,34.45,64.85,Man Infra,70.95,34.35,64.95
Manaksia,,15.04, 49.43 new,100.00%,2.62%,1.27,2.00,23.10,501.01,1,57.05,60.20,5.08,84.90,46.50,76.45,Manaksia,84.00,45.50,77.80
Manaksia Ind,,15.19, 100 new,0.00%,-%,1.05,1.00,23.10,224.52,1,20.86,32.38,2.24,50.15,10.17,34.00,Manaksia Ind,50.00,10.30,33.80
Manav Pharma,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Manav Pharma,NA,NA,NA
Mandu Indus,,11.16,  new,0.00%,-%,* -,10.00,19.75,0.00,1,-,-,-,NA,NA,NA,Mandu Indus,NA,NA,NA
Mangalam Timber,,-11.28, 58.57 new,0.00%,-%,-,10.00,32.84,55.53,1,-,-,-,39.15,25.20,30.30,Mangalam Timber,39.35,25.35,30.20
Mangalore Chem,,30.63, 67.60 new,0.00%,-%,1.64,10.00,17.49,805.90,1,14.75,41.46,2.22,81.25,39.00,68.00,Mangalore Chem,82.00,39.00,68.10
Mangalya Soft,,11.18, 100 new,0.00%,-%,* -,10.00,18.51,0.00,1,-,-,-,NA,NA,NA,Mangalya Soft,NA,NA,NA
Manomay Tex Ind,,26.24, 100 new,0.00%,-%,* -,10.00,22.67,42.24,4000,-,-,1.27,35.90,30.00,33.30,Manomay Tex Ind,NA,NA,NA
Mansarovar Bot,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mansarovar Bot,NA,NA,NA
Mansoon Trading,,16.01,  new,0.00%,-%,0.65,10.00,32.00,0.00,50,-,-,-,NA,NA,NA,Mansoon Trading,NA,NA,NA
Maple Circuits ,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Maple Circuits ,NA,NA,NA
Maplle Infra,,5.04,  new,0.00%,-%,* -,10.00,22.25,0.00,100,-,-,-,NA,NA,NA,Maplle Infra,NA,NA,NA
Maral Finance,,NA,  new,NA,-%,0.01,NA,-,0.00,NA,-,-,-,NA,NA,NA,Maral Finance,NA,NA,NA
Maral Overseas,,22.77, 42.23 new,0.00%,-%,3.60,10.00,10.59,172.88,1,4.61,11.57,1.83,53.30,24.25,41.65,Maral Overseas,53.50,24.50,42.35
Marg Projects,,32.35,  new,0.00%,-%,-,10.00,35.29,5.99,1,-,-,0.34,11.22,7.52,11.00,Marg Projects,NA,NA,NA
Marico,,22.66, 66.56 new,350.00%,1.05%,6.53,1.00,57.34,"43,043.67",1,47.45,51.08,14.72,334.95,234.55,333.55,Marico,335.90,234.80,334.70
Marico Kaya Ent,,230.71,  new,0.00%,-%,0.31,10.00,62.08,0.00,1,-,-,-,NA,NA,NA,Marico Kaya Ent,NA,NA,NA
Marksans Pharma,,10.32, 58.81 new,12.00%,0.28%,0.30,1.00,29.58,"1,741.63",1,63.51,141.83,4.12,58.30,36.95,42.55,Marksans Pharma,58.30,36.80,42.45
Marmagoa Steel,,-16.22,  new,0.00%,-%,-,1.00,8.69,0.00,1,-,-,-,NA,NA,NA,Marmagoa Steel,NA,NA,NA
Marson's Textil,,-0.93,  new,0.00%,-%,-,10.00,11.85,0.00,100,-,-,-,NA,NA,NA,Marson's Textil,NA,NA,NA
Maruti Carbo,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Maruti Carbo,NA,NA,NA
Maruti Cottex,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Maruti Cottex,NA,NA,NA
Mastergain 92,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mastergain 92,NA,NA,NA
Masterplus 91,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Masterplus 91,NA,NA,NA
Matra Kaushal,,0.97,  new,0.00%,-%,-,1.00,47.76,85.12,1,-,-,4.35,5.10,4.22,4.22,Matra Kaushal,NA,NA,NA
Mawana Sugar,,57.15,  new,10.00%,-%,* -,0.00,27.90,0.00,1,-,-,-,NA,NA,NA,Mawana Sugar,NA,NA,NA
Maximus Interna,,10.79,  new,0.00%,-%,* -,10.00,30.67,13.93,6000,-,-,2.48,26.95,25.05,26.75,Maximus Interna,NA,NA,NA
Maxworth Count,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Maxworth Count,NA,NA,NA
Maxworth India,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Maxworth India,NA,NA,NA
Maxworth Intl,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Maxworth Intl,NA,NA,NA
Maya Agro Prod,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Maya Agro Prod,NA,NA,NA
Mayank Hotel,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mayank Hotel,NA,NA,NA
Mayura Alloys,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mayura Alloys,NA,NA,NA
Mazda,,261.62, 32.79 new,66.00%,1.68%,27.92,10.00,27.65,167.40,1,11.52,14.08,1.50,490.80,259.00,393.15,Mazda,491.85,303.00,396.40
Mazda Fabric,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mazda Fabric,NA,NA,NA
Mazda Lease,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mazda Lease,NA,NA,NA
McDowell Hold,,7.72, 72.57 new,0.00%,-%,-,10.00,39.26,56.11,1,-,-,5.19,58.65,26.10,40.10,McDowell Hold,58.65,26.70,39.80
Medi-Caps,,53.49, 63.75 new,0.00%,-%,0.82,10.00,20.24,30.18,1,21.61,29.51,0.45,34.55,17.00,24.20,Medi-Caps,NA,NA,NA
Media Matrix,,1.47, 99.69 new,0.00%,-%,* -,1.00,43.78,804.25,1,-,-,4.83,12.80,5.75,7.10,Media Matrix,NA,NA,NA
Mediaone Global,,22.56,  new,8.00%,-%,-,10.00,43.78,0.00,1,-,-,-,NA,NA,NA,Mediaone Global,NA,NA,NA
Medicamen Bio,,21.81, 85.04 new,0.00%,-%,4.66,10.00,29.58,708.65,1,100.02,137.37,29.35,668.95,105.90,640.15,Medicamen Bio,NA,NA,NA
Medicorp Tec,,NA,  new,0.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,Medicorp Tec,NA,NA,NA
Meekan Transmis,,NA,  new,NA,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,Meekan Transmis,NA,NA,NA
Meera Industrie,,NA, 71.43 new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Meera Industrie,NA,NA,NA
Megri Soft,,58.86,  new,0.00%,-%,1.17,10.00,18.51,0.00,1,-,-,-,NA,NA,NA,Megri Soft,NA,NA,NA
Mehta Sulfites,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mehta Sulfites,NA,NA,NA
Menon Bearings,,11.44, 72.08 new,100.00%,1.27%,3.41,1.00,36.58,440.47,1,18.15,23.05,6.87,110.00,60.00,78.60,Menon Bearings,102.20,60.80,79.55
Mercard Ltd,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mercard Ltd,NA,NA,NA
Merind,,-45.54,  new,0.00%,-%,* -,10.00,23.62,0.00,1,-,-,-,NA,NA,NA,Merind,NA,NA,NA
Mewar Marbles,,0.09,  new,0.00%,-%,-,10.00,6.37,0.00,50,-,-,-,NA,NA,NA,Mewar Marbles,NA,NA,NA
Micro Plantae,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Micro Plantae,NA,NA,NA
Micro Tech,,100.37,  new,0.00%,-%,-,10.00,18.51,0.00,1,-,-,-,NA,NA,NA,Micro Tech,NA,NA,NA
Micro Techno,,,,,,,,,,,,,,,,,Micro Techno,,,
Mid India Ind,,1.15,  new,0.00%,-%,-,10.00,10.59,1.22,1,-,-,0.65,1.51,0.60,0.75,Mid India Ind,NA,NA,NA
Mideast Steels,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mideast Steels,NA,NA,NA
Midfield Ind,,89.75,  new,25.00%,-%,7.45,10.00,24.35,0.00,1,-,-,-,NA,NA,NA,Midfield Ind,NA,NA,NA
Mihijam Vanaspa,,2.89,  new,0.00%,-%,-,10.00,17.38,0.00,1,-,-,-,NA,NA,NA,Mihijam Vanaspa,NA,NA,NA
Mihika Ind,,24.87,  new,0.00%,-%,0.13,10.00,51.24,0.00,1,-,-,-,NA,NA,NA,Mihika Ind,NA,NA,NA
Milk Special,,19.41,  new,0.00%,-%,-,10.00,52.36,0.00,100,-,-,-,NA,NA,NA,Milk Special,NA,NA,NA
Milkfood,,76.53,  new,0.00%,-%,3.81,10.00,55.93,100.66,1,11.24,54.07,2.69,281.00,165.50,206.00,Milkfood,NA,NA,NA
Millennium,,1.01,  new,0.00%,-%,* -,1.00,39.26,4.40,1,-,-,0.87,3.90,0.88,0.88,Millennium,NA,NA,NA
Millennium Labs,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Millennium Labs,NA,NA,NA
Millitoons Ente,,0.54, 52.68 new,0.07%,-%,0.02,1.00,43.78,765.45,1,"2,250.00","2,250.00",83.33,116.30,6.25,45.00,Millitoons Ente,NA,NA,NA
Minda Ind,,61.48, 47.19 new,70.00%,0.18%,10.97,2.00,79.31,"6,840.06",1,47.91,72.15,12.87,1648.00,263.00,791.50,Minda Ind,845.00,214.67,791.50
Mipco Seamless,,-6.60,  new,0.00%,-%,-,10.00,37.00,0.00,1,-,-,-,NA,NA,NA,Mipco Seamless,NA,NA,NA
Mishka Exim,,9.84,  new,0.00%,-%,* -,10.00,18.79,48.34,5000,-,-,3.40,33.50,23.50,33.45,Mishka Exim,NA,NA,NA
Mishka Finance,,1.14,  new,0.00%,-%,0.01,1.00,39.26,0.00,1,-,-,-,NA,NA,NA,Mishka Finance,NA,NA,NA
Modern Cement,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Modern Cement,NA,NA,NA
Modern Terry,,-11.95,  new,0.00%,-%,* -,10.00,11.14,0.00,100,-,-,-,NA,NA,NA,Modern Terry,NA,NA,NA
Modi Cement,,14.58,  new,0.00%,-%,-,0.00,113.35,0.00,1,-,-,-,NA,NA,NA,Modi Cement,NA,NA,NA
Modi Industries,,-82.90,  new,0.00%,-%,11.60,10.00,16.19,0.00,100,-,-,-,NA,NA,NA,Modi Industries,NA,NA,NA
Mold-Tek Pack,,46.55, 94.94 new,65.00%,1.16%,9.74,5.00,33.56,773.13,1,20.95,28.64,5.99,337.00,162.00,279.00,Mold-Tek Pack,315.00,176.55,280.10
Monarch Dyestuf,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Monarch Dyestuf,NA,NA,NA
Monnet Ind,,-231.91, 100 new,0.00%,-%,-,10.00,5.32,4.12,1,-,-,-,50.30,11.20,11.20,Monnet Ind,NA,NA,NA
Monsanto India,,324.85, 47.96 new,300.00%,1.09%,85.46,10.00,46.58,"4,738.62",1,30.26,32.12,8.45,2979.95,2200.25,2745.00,Monsanto India,2980.00,2221.10,2733.35
Moongipa Secu,,14.50,  new,0.00%,-%,0.46,10.00,39.26,7.52,1,30.61,32.61,1.03,15.00,13.10,15.00,Moongipa Secu,NA,NA,NA
Morgan Ind,,6.99,  new,0.00%,-%,-,10.00,6.27,0.00,1,-,-,-,NA,NA,NA,Morgan Ind,NA,NA,NA
Moryo,,10.13,  new,0.00%,-%,-,5.00,10.65,0.00,1,-,-,-,NA,NA,NA,Moryo,NA,NA,NA
Moser Baer,,-128.03, 64.20 new,0.00%,-%,-,10.00,22.89,117.31,1,-,-,-,9.15,4.11,5.29,Moser Baer,9.10,4.10,5.30
Mothercare,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mothercare,NA,NA,NA
Moti Electric,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Moti Electric,NA,NA,NA
Moti Protein,,8.81,  new,0.00%,-%,2.97,10.00,17.38,0.00,100,-,-,-,NA,NA,NA,Moti Protein,NA,NA,NA
Motor and Gen F,,32.72, 100 new,0.00%,-%,-,10.00,39.26,57.80,1,63.51,-,0.91,55.00,27.10,29.85,Motor and Gen F,50.55,25.50,26.50
Mrinal Dye,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mrinal Dye,NA,NA,NA
Mrinal Dyeing,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mrinal Dyeing,NA,NA,NA
Mukat Pipes,,-4.76,  new,0.00%,-%,-,5.00,20.73,0.00,1,-,-,-,NA,NA,NA,Mukat Pipes,NA,NA,NA
Mukerian Papers,,-216.10,  new,0.00%,-%,-,10.00,17.14,0.00,1,-,-,-,NA,NA,NA,Mukerian Papers,NA,NA,NA
Mukesh Babu Fin,,72.30, 96.24 new,10.00%,1.72%,4.03,10.00,39.26,40.47,1,14.06,14.40,0.80,77.00,29.65,58.05,Mukesh Babu Fin,NA,NA,NA
Mukesh Steels,,5.67,  new,0.00%,-%,-,10.00,12.55,0.00,1,-,-,-,NA,NA,NA,Mukesh Steels,NA,NA,NA
Mukind Syntex,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mukind Syntex,NA,NA,NA
Mukund Engg,,40.28, 63.43 new,0.00%,-%,-,10.00,33.58,70.34,1,-,-,1.39,70.20,27.20,55.95,Mukund Engg,70.40,26.50,55.55
Muller and Phip,,-78.35, 100 new,0.00%,-%,0.96,10.00,51.24,3.47,1,48.73,57.86,-,98.20,45.70,55.55,Muller and Phip,NA,NA,NA
Multipurpose,,9.37,  new,0.00%,-%,0.07,10.00,39.26,11.09,1,280.00,320.00,2.39,22.40,10.81,22.40,Multipurpose,NA,NA,NA
Munak Chemicals,,10.00,  new,0.00%,-%,* -,10.00,15.71,0.00,50,-,-,-,NA,NA,NA,Munak Chemicals,NA,NA,NA
Murudeshwar Cer,,74.37, 45.41 new,0.00%,-%,0.56,10.00,34.04,183.20,1,19.04,76.16,0.57,53.75,23.40,42.65,Murudeshwar Cer,53.80,23.20,42.95
Mutlicolour Off,,10.00,  new,0.00%,-%,* -,10.00,17.24,0.00,100,-,-,-,NA,NA,NA,Mutlicolour Off,NA,NA,NA
Mysore Paper,,-35.82,  new,0.00%,-%,-,10.00,11.71,0.00,1,-,-,-,NA,NA,NA,Mysore Paper,NA,NA,NA
Mystic Electr,,23.84,  new,0.00%,-%,-,10.00,51.24,105.16,1,-,-,2.23,136.81,53.20,53.20,Mystic Electr,NA,NA,NA
N R Agarwal Ind,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,N R Agarwal Ind,345.00,10.00,302.65
NCC Blue Water,,-5.60,  new,0.00%,-%,8.87,10.00,163.16,0.00,100,-,-,-,NA,NA,NA,NCC Blue Water,NA,NA,NA
NCML Industries,,,,,,,,,,,,,,,,,NCML Industries,,,
ND Metal,,15.70,  new,0.00%,-%,0.84,10.00,55.15,0.00,1,-,-,-,NA,NA,NA,ND Metal,NA,NA,NA
NEPC India,,5.69, 100 new,0.00%,-%,-,10.00,27.65,8.24,1,-,-,0.21,2.44,1.19,1.19,NEPC India,NA,NA,NA
NG Industries,,47.39, 87.07 new,35.00%,3.83%,4.24,10.00,54.86,30.66,1,15.40,21.58,1.93,99.50,62.80,91.50,NG Industries,NA,NA,NA
NIFTYBEES,,NA, 75.73 new,NA,-%,-,NA,-,0.00,NA,-,-,-,1085.73,807.11,1032.99,NIFTYBEES,1038.80,662.81,1034.27
NIIT,,48.63, 14.12 new,0.00%,-%,0.06,2.00,49.52,"1,624.89",1,64.87,"1,632.50",2.01,107.80,67.00,97.95,NIIT,107.95,69.10,98.15
NIIT Tech,,213.81, 34.15 new,100.00%,1.95%,40.46,10.00,18.51,"3,155.76",1,9.30,12.70,2.40,601.00,370.00,514.00,NIIT Tech,601.00,366.55,515.50
NR Intl,,16.69, 100 new,0.00%,-%,0.05,10.00,30.96,3.59,1,21.00,67.20,0.20,6.25,2.62,3.36,NR Intl,NA,NA,NA
Nagarjuna Ag,,5.46,  new,0.00%,-%,0.63,10.00,7.43,3.94,1,5.83,6.67,0.77,5.82,1.76,4.20,Nagarjuna Ag,NA,NA,NA
Nagarjuna Gran,,-0.73,  new,0.00%,-%,* -,10.00,24.35,0.00,100,-,-,-,NA,NA,NA,Nagarjuna Gran,NA,NA,NA
Nagarjuna Jiyo ,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Nagarjuna Jiyo ,NA,NA,NA
Nagpur Power,,47.06, 97.52 new,0.00%,-%,-,10.00,9.11,39.61,1,-,-,0.64,34.90,24.60,30.25,Nagpur Power,NA,NA,NA
Nagreeka Cap,,56.29, 52.03 new,0.00%,-%,-,5.00,39.26,20.69,1,-,-,0.29,22.15,10.83,16.40,Nagreeka Cap,21.65,10.30,16.50
Nagreeka Export,,81.90, 62.33 new,0.00%,-%,0.83,5.00,10.59,38.94,1,5.02,37.53,0.38,45.00,26.50,31.15,Nagreeka Export,44.20,26.00,31.60
Nahar Capital,,317.27, 81.13 new,30.00%,1.28%,15.11,5.00,39.26,196.52,1,7.72,7.77,0.37,130.60,76.00,117.35,Nahar Capital,129.40,76.05,117.30
Nahar Sugar,,27.15,  new,0.00%,-%,8.24,10.00,11.87,0.00,1,-,-,-,NA,NA,NA,Nahar Sugar,NA,NA,NA
Naisargik Agri,,6.80,  new,0.00%,-%,-,10.00,7.43,0.00,1,-,-,-,NA,NA,NA,Naisargik Agri,NA,NA,NA
Nandan Auto,,7.96,  new,0.00%,-%,0.07,10.00,30.96,0.34,100,12.50,14.29,0.13,1.85,1.00,1.00,Nandan Auto,NA,NA,NA
Nandan Denim,,77.55, 65.95 new,16.00%,1.08%,11.79,10.00,29.41,713.05,1,4.99,12.59,1.91,162.00,105.40,148.40,Nandan Denim,161.90,105.00,147.95
Nandani Creatio,,11.70,  new,0.00%,-%,* -,10.00,40.41,0.00,2000,-,-,4.78,NA,NA,NA,Nandani Creatio,63.50,28.00,55.90
Narendra Prop,,39.52,  new,0.00%,-%,-,10.00,35.29,8.10,1,-,-,0.29,15.79,6.97,11.40,Narendra Prop,NA,NA,NA
Nariman Pt Chem,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Nariman Pt Chem,NA,NA,NA
National Fittin,,33.32, 95.66 new,20.00%,0.74%,12.19,10.00,29.10,224.64,1,20.07,22.15,8.10,284.95,120.10,270.00,National Fittin,NA,NA,NA
