,**MARKET CAP (Rs Cr),BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
Elegant Marble,,154.46, 100 new,0.00%,-%,13.85,10.00,25.81,75.58,1,11.77,12.13,1.09,195.95,92.10,167.95,Elegant Marble,NA,NA,NA
Elegant Pharma,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Elegant Pharma,NA,NA,NA
Elgi Finance,,17.24,  new,0.00%,-%,-,10.00,23.07,0.00,1,-,-,-,NA,NA,NA,Elgi Finance,NA,NA,NA
Ellora Paper,,4.52,  new,0.00%,-%,-,10.00,25.91,0.00,1,-,-,-,NA,NA,NA,Ellora Paper,NA,NA,NA
Emaar MGF Land,,,,,,,,,,,,,,,,,Emaar MGF Land,,,
Emami Paper,,68.47, 75.46 new,30.00%,0.49%,4.29,2.00,11.71,743.23,1,9.20,28.64,1.79,152.20,64.00,122.85,Emami Paper,NA,NA,NA
Emed.com Techno,,11.79,  new,0.00%,-%,-,10.00,54.86,4.70,1,-,-,1.18,17.79,8.51,13.90,Emed.com Techno,NA,NA,NA
Emergy Pharma,,-5.55,  new,0.00%,-%,* -,10.00,26.63,0.00,1,-,-,-,NA,NA,NA,Emergy Pharma,NA,NA,NA
Emkay Taps,,473.45,  new,0.00%,-%,* -,10.00,27.65,0.00,400,-,-,0.97,NA,NA,NA,Emkay Taps,525.00,330.00,458.00
Emmessar Biotec,,4.18, 100 new,0.00%,-%,2.36,10.00,17.90,12.29,1,10.29,10.42,5.89,35.30,15.65,24.60,Emmessar Biotec,NA,NA,NA
Emmsons Intl,,-307.12,  new,0.00%,-%,-,10.00,51.24,6.60,1,-,-,-,12.20,4.80,5.50,Emmsons Intl,NA,NA,NA
Empire Ind,,304.10, 92.87 new,0.00%,-%,58.15,10.00,36.51,"1,277.64",1,29.14,36.62,7.00,2298.90,1518.00,2129.40,Empire Ind,NA,NA,NA
Emtex Ind,,-420.46,  new,0.00%,-%,-,10.00,13.64,0.00,1,-,-,-,NA,NA,NA,Emtex Ind,NA,NA,NA
Energy Dev,,37.88, 86.15 new,5.00%,2.02%,0.66,10.00,14.55,117.33,1,18.85,37.42,0.65,249.20,23.05,24.70,Energy Dev,248.00,23.50,24.80
Envair Electro,,5.38, 100 new,0.00%,-%,-,10.00,40.23,9.12,1,-,-,5.58,40.35,14.90,30.00,Envair Electro,NA,NA,NA
Equipment Cond,,15.22,  new,0.00%,-%,* -,0.00,0.90,0.00,100,-,-,-,NA,NA,NA,Equipment Cond,NA,NA,NA
Equitas Holding,,49.54, 33.12 new,0.00%,-%,0.16,10.00,39.26,"5,675.73",1,932.22,"1,048.75",3.39,206.00,138.55,167.80,Equitas Holding,206.25,138.35,167.85
Era Infra Eng,,-53.05,  new,0.00%,-%,-,2.00,35.29,0.00,1,-,-,-,NA,NA,NA,Era Infra Eng,NA,NA,NA
Escorp Asset Ma,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,16.50,15.05,15.65,Escorp Asset Ma,NA,NA,NA
Eskay Pharma,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Eskay Pharma,NA,NA,NA
Essar Ports,,62.68,  new,0.00%,-%,-,10.00,31.71,0.00,1,-,-,-,NA,NA,NA,Essar Ports,NA,NA,NA
Essel Propack,,39.58, 57.37 new,110.00%,0.87%,4.14,2.00,23.10,"3,966.68",1,31.67,60.97,6.38,276.40,206.95,252.40,Essel Propack,275.95,206.85,253.30
Essel Software,,,,,,,,,,,,,,,,,Essel Software,,,
Essem Catalyst,,-7.33,  new,0.00%,-%,-,0.00,-,0.00,100,-,-,-,NA,NA,NA,Essem Catalyst,NA,NA,NA
Essemm Info,,,,,,,,,,,,,,,,,Essemm Info,,,
Esskay Tele,,10.08,  new,0.00%,-%,0.31,10.00,27.32,0.00,1,-,-,-,NA,NA,NA,Esskay Tele,NA,NA,NA
Esteem Bio,,1.65,  new,0.00%,-%,* -,1.00,321.56,0.00,2500,-,-,-,NA,NA,NA,Esteem Bio,NA,NA,NA
Euro Leder,,27.18, 100 new,0.00%,-%,1.38,10.00,40.52,10.74,1,11.65,17.39,0.88,24.95,7.51,24.00,Euro Leder,NA,NA,NA
Everonn Edu,,-338.63,  new,0.00%,-%,-,10.00,49.52,0.00,1,-,-,-,NA,NA,NA,Everonn Edu,NA,NA,NA
Evinix,,8.16,  new,0.00%,-%,-,1.00,27.33,0.00,1,-,-,-,NA,NA,NA,Evinix,NA,NA,NA
Excel Realty,,53.14, 73.69 new,0.00%,-%,0.09,10.00,17.90,179.16,1,336.18,635.00,1.08,65.25,29.25,57.15,Excel Realty,64.85,29.70,55.25
Exedy India,,-60.88,  new,0.00%,-%,-,10.00,17.62,0.00,1,-,-,-,NA,NA,NA,Exedy India,NA,NA,NA
FAL Industries,,48.65,  new,10.00%,-%,-,10.00,4.17,0.00,1,-,-,-,NA,NA,NA,FAL Industries,NA,NA,NA
FCGL Industries,,114.61,  new,15.00%,-%,99.44,0.00,55.15,0.00,1,-,-,-,NA,NA,NA,FCGL Industries,NA,NA,NA
FCS Software,,3.14, 76.93 new,0.00%,-%,-,1.00,18.51,37.61,1,22.00,-,0.07,0.39,0.21,0.22,FCS Software,0.40,0.20,0.25
FI Sofex,,,,,,,,,,,,,,,,,FI Sofex,,,
Facor Alloys,,5.49, 74.91 new,0.00%,-%,0.02,1.00,9.11,81.54,1,26.06,208.50,0.76,5.02,0.83,4.17,Facor Alloys,NA,NA,NA
Fatpipe Network,,,,,,,,,,,,,,,,,Fatpipe Network,,,
Femnor Mineral,,47.80,  new,0.00%,-%,-,10.00,37.29,0.00,100,-,-,-,NA,NA,NA,Femnor Mineral,NA,NA,NA
Ferro Alloys,,14.82, 82.24 new,0.00%,-%,1.09,1.00,9.11,170.08,1,6.65,8.42,0.62,13.48,4.36,9.18,Ferro Alloys,NA,NA,NA
Filtra Consult,,13.17, 100 new,0.00%,-%,* -,10.00,33.58,15.59,7500,-,-,1.73,28.70,13.80,22.75,Filtra Consult,NA,NA,NA
Filtron Enginee,,0.68,  new,0.00%,-%,-,10.00,27.65,0.00,1,-,-,-,NA,NA,NA,Filtron Enginee,NA,NA,NA
Fine Drugs,,-1.22,  new,0.00%,-%,1.22,NA,18.10,0.00,1,-,-,-,NA,NA,NA,Fine Drugs,NA,NA,NA
Fine-line Circ,,14.30, 100 new,0.00%,-%,0.10,10.00,25.89,4.09,1,5.67,85.00,0.59,14.17,8.13,8.50,Fine-line Circ,NA,NA,NA
Finkurve Fin,,1.19,  new,0.00%,-%,0.06,1.00,39.26,420.21,1,725.00,725.00,36.55,48.40,17.25,43.50,Finkurve Fin,NA,NA,NA
Finolex Cables,,116.62, 73.81 new,125.00%,0.52%,20.65,2.00,29.67,"7,285.27",1,20.02,23.07,4.08,571.00,362.05,476.35,Finolex Cables,572.80,355.00,476.40
First Financial,,2.01,  new,0.00%,-%,-,1.00,39.26,0.00,1,-,-,-,NA,NA,NA,First Financial,NA,NA,NA
First Leasing,,159.69,  new,18.00%,-%,15.35,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,First Leasing,NA,NA,NA
Firth India,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Firth India,NA,NA,NA
Fish Falcon,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Fish Falcon,NA,NA,NA
Flag Finin,,16.21,  new,0.00%,-%,0.14,10.00,39.26,7.47,1,40.67,52.29,0.45,8.41,3.25,7.32,Flag Finin,NA,NA,NA
Flex Engg,,37.48,  new,0.00%,-%,-,10.00,16.99,0.00,1,-,-,-,NA,NA,NA,Flex Engg,NA,NA,NA
Flexi Circuits,,-0.62,  new,0.00%,-%,* -,10.00,11.16,0.00,100,-,-,-,NA,NA,NA,Flexi Circuits,NA,NA,NA
Flora Corporati,,4.34,  new,0.00%,-%,* -,10.00,1.18,6.29,1,-,-,1.66,19.10,7.20,7.20,Flora Corporati,NA,NA,NA
Flora Wall Cove,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Flora Wall Cove,NA,NA,NA
Focus Lighting ,,NA, 77.78 new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Focus Lighting ,181.20,45.00,109.80
Forge and Blowe,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Forge and Blowe,NA,NA,NA
Fortis Malar,,52.70, 91.36 new,5.00%,0.73%,1.07,10.00,54.86,127.24,1,21.42,63.64,1.29,102.20,49.95,68.10,Fortis Malar,NA,NA,NA
Frontier Cap,,143.96,  new,10.00%,-%,-,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Frontier Cap,NA,NA,NA
Future Consumer,,5.27, 34.89 new,0.00%,-%,0.05,6.00,30.96,"7,015.72",1,281.33,844.00,8.01,45.85,18.10,42.20,Future Consumer,45.90,18.05,42.20
Future Ent,,70.17, 45.48 new,12.00%,0.63%,0.92,2.00,44.95,"1,810.96",1,2.68,41.63,0.55,40.60,14.20,38.30,Future Ent,40.65,14.00,38.35
Future Retail,,47.53, 70.79 new,0.00%,-%,7.81,2.00,85.51,"19,469.35",1,48.55,52.84,8.68,448.00,116.10,412.65,Future Retail,450.00,115.45,413.10
Futuristic,,-11.03,  new,0.00%,-%,-,10.00,15.15,0.00,1,-,-,-,NA,NA,NA,Futuristic,NA,NA,NA
Futuristic Sec,,7.76,  new,0.00%,-%,0.15,10.00,39.26,1.95,1,62.50,66.67,1.29,18.75,10.00,10.00,Futuristic Sec,NA,NA,NA
G E Capital,,10.37,  new,0.00%,-%,-,10.00,23.07,0.00,1,-,-,-,NA,NA,NA,G E Capital,NA,NA,NA
G G Engineering,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,25.40,17.35,23.30,G G Engineering,NA,NA,NA
GCM Commodity,,22.27,  new,0.00%,-%,* -,10.00,39.26,3.34,6000,-,-,0.20,4.50,1.95,4.50,GCM Commodity,NA,NA,NA
GFL Financials,,2.12,  new,0.00%,-%,* -,2.00,39.26,5.82,1,-,-,1.83,6.39,3.88,3.88,GFL Financials,NA,NA,NA
GIC Rise II MIS,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,GIC Rise II MIS,NA,NA,NA
GIC Taxsaver,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,GIC Taxsaver,NA,NA,NA
GICBigQDIS,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,GICBigQDIS,NA,NA,NA
GIS Ltd,,33.60,  new,0.00%,-%,2.74,0.00,33.35,0.00,1,-,-,-,NA,NA,NA,GIS Ltd,NA,NA,NA
GK Consultants,,12.46, 100 new,0.00%,-%,0.41,10.00,39.26,3.03,1,13.90,13.90,0.46,10.45,4.52,5.70,GK Consultants,NA,NA,NA
GM Breweries,,150.19, 47.90 new,30.00%,0.70%,28.41,10.00,94.25,624.36,1,13.32,15.03,2.84,682.55,394.00,427.00,GM Breweries,682.00,402.40,428.10
GMB Ceramics,,NA,  new,0.00%,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,GMB Ceramics,NA,NA,NA
GMR Infra,,9.51, 36.63 new,0.00%,-%,-,1.00,27.66,"11,377.76",1,-,-,1.98,22.10,10.25,18.85,GMR Infra,22.05,10.20,18.90
GNA Axles,,81.15, 47.39 new,0.00%,-%,15.31,10.00,37.00,588.15,1,10.35,17.90,3.38,298.50,171.10,274.00,GNA Axles,299.00,172.00,274.35
GR Magnets,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,GR Magnets,NA,NA,NA
GRP,,957.79, 90.32 new,0.00%,-%,62.76,10.00,28.32,182.01,1,8.16,21.75,1.43,1802.00,1236.05,1365.05,GRP,1814.10,1191.00,1381.95
GRUH Finance,,30.49, 34.16 new,0.00%,-%,8.45,2.00,28.85,"17,336.10",1,55.66,56.19,15.57,515.60,270.00,474.80,GRUH Finance,517.25,268.50,474.75
GS Auto,,25.05, 69.85 new,0.00%,-%,-,5.00,37.22,22.03,1,-,-,0.61,19.45,11.95,15.18,GS Auto,NA,NA,NA
GSAL India,,-51.72,  new,0.00%,-%,-,10.00,7.18,0.00,100,-,-,-,NA,NA,NA,GSAL India,NA,NA,NA
GSB Finance,,18.92, 100 new,0.00%,-%,1.64,10.00,39.26,6.28,1,6.23,6.38,0.55,12.97,5.04,10.47,GSB Finance,NA,NA,NA
GSL Securities,,5.34,  new,0.00%,-%,0.03,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,GSL Securities,NA,NA,NA
GTN Industries,,-0.34, 92.60 new,0.00%,-%,-,10.00,10.59,36.48,1,16.00,-,-,26.25,11.50,20.80,GTN Industries,26.40,11.20,21.00
GV Films,,0.59, 99.53 new,0.00%,-%,-,1.00,43.78,35.76,1,-,-,1.64,1.18,0.59,0.97,GV Films,NA,NA,NA
GVK Power,,12.34, 46.10 new,0.00%,-%,-,1.00,14.55,"1,966.12",1,-,-,1.01,12.45,5.05,12.45,GVK Power,12.45,5.00,12.45
Gagan Gases,,2.31,  new,0.00%,-%,0.24,10.00,35.12,2.49,1,14.53,23.00,2.39,9.25,4.49,5.52,Gagan Gases,NA,NA,NA
Gajanan Sec,,8.67,  new,0.00%,-%,0.01,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Gajanan Sec,NA,NA,NA
Gajra Bevel Gea,,-38.53,  new,0.00%,-%,-,10.00,45.28,1.88,1,-,-,-,4.10,1.90,2.00,Gajra Bevel Gea,NA,NA,NA
Galaxy Surfact,,,,,,,,,,,,,,,,,Galaxy Surfact,,,
Gallantt Ispat,,94.12, 79.24 new,10.00%,0.45%,11.50,10.00,15.09,847.37,1,14.96,19.15,2.34,625.00,198.60,220.20,Gallantt Ispat,663.00,201.00,220.95
Ganapati Exp,,NA,  new,NA,-%,-,NA,-,0.00,50,-,-,-,NA,NA,NA,Ganapati Exp,NA,NA,NA
Gandhidham Spg.,,1.56,  new,0.00%,-%,-,10.00,13.68,0.00,50,-,-,-,NA,NA,NA,Gandhidham Spg.,NA,NA,NA
Gandhinagar Hot,,18.39,  new,0.00%,-%,2.48,10.00,59.12,0.00,1,-,-,-,NA,NA,NA,Gandhinagar Hot,NA,NA,NA
Ganesh Forgings,,-63.82, 100 new,0.00%,-%,-,10.00,55.13,2.38,1,-,-,-,2.71,1.45,1.90,Ganesh Forgings,2.50,1.55,1.55
Ganesh Holdings,,61.96,  new,0.00%,-%,-,10.00,27.21,0.00,1,-,-,-,NA,NA,NA,Ganesh Holdings,NA,NA,NA
Gangotri Iron,,4.32,  new,0.00%,-%,-,5.00,12.55,0.00,1,-,-,-,NA,NA,NA,Gangotri Iron,NA,NA,NA
Ganipitak Yaks,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Ganipitak Yaks,NA,NA,NA
Garg Forgings,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Garg Forgings,NA,NA,NA
Garnet Construc,,49.18, 95.19 new,0.00%,-%,0.97,10.00,35.29,37.33,1,18.91,27.68,0.55,30.80,11.70,26.85,Garnet Construc,NA,NA,NA
Garuda Clays,,28.71, 100 new,0.00%,-%,2.41,10.00,42.58,34.82,1,13.22,13.28,1.11,33.00,22.80,32.00,Garuda Clays,NA,NA,NA
Garware Marine,,8.89,  new,0.00%,-%,-,10.00,21.22,3.67,1,-,-,0.72,15.75,6.36,6.36,Garware Marine,NA,NA,NA
Gautam Exim,,NA, 100 new,NA,-%,-,NA,-,0.00,NA,-,-,-,51.35,34.00,42.00,Gautam Exim,NA,NA,NA
Gayatri Tissue,,24.48,  new,0.00%,-%,1.12,10.00,23.93,0.00,1,-,-,-,NA,NA,NA,Gayatri Tissue,NA,NA,NA
Gazi Fin Ser,,5.69,  new,0.00%,-%,0.08,10.00,26.39,0.00,100,-,-,-,NA,NA,NA,Gazi Fin Ser,NA,NA,NA
Gccl Constr,,10.95,  new,0.00%,-%,0.06,10.00,23.69,0.00,1,-,-,-,NA,NA,NA,Gccl Constr,NA,NA,NA
Gee Kay Tex,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gee Kay Tex,NA,NA,NA
GeeCee Ventures,,165.30, 63.55 new,15.00%,1.13%,12.99,10.00,46.58,289.29,1,9.73,10.25,0.81,219.95,108.80,133.15,GeeCee Ventures,219.70,105.75,132.75
Geekay Imaging,,,,,,,,,,,,,,,,,Geekay Imaging,,,
Gem Cables,,-31.65,  new,0.00%,-%,* -,10.00,19.82,0.00,1,-,-,-,NA,NA,NA,Gem Cables,NA,NA,NA
Gennex Labs,,2.45, 81.09 new,0.00%,-%,0.21,1.00,29.58,55.91,1,15.79,21.05,1.80,8.19,4.11,4.42,Gennex Labs,NA,NA,NA
German Remedies,,NA,  new,80.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,German Remedies,NA,NA,NA
Gic Gr Plus,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gic Gr Plus,NA,NA,NA
Gic Taxsa 95,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gic Taxsa 95,NA,NA,NA
Gillanders Arbu,,88.97, 95.65 new,0.00%,-%,0.84,10.00,19.70,140.86,1,6.78,78.57,0.74,85.30,55.20,66.00,Gillanders Arbu,85.45,52.50,66.95
Gini Silk Mills,,57.62, 100 new,5.00%,0.15%,4.32,10.00,24.04,182.88,1,54.05,75.69,5.68,505.00,251.10,327.00,Gini Silk Mills,NA,NA,NA
Glance Fin,,53.93, 98.53 new,0.00%,-%,-,10.00,39.26,5.65,1,78.33,-,0.35,52.00,16.55,18.80,Glance Fin,NA,NA,NA
GlaxoSmithKline,,239.45, 58.14 new,500.00%,2.06%,34.35,10.00,29.58,"20,594.69",1,64.91,70.78,10.15,3410.00,2309.05,2431.40,GlaxoSmithKline,3410.00,2201.20,2443.15
Global Arya Ind,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Global Arya Ind,NA,NA,NA
Global Syntx,,14.96,  new,0.00%,-%,0.42,0.00,11.15,0.00,100,-,-,-,NA,NA,NA,Global Syntx,NA,NA,NA
Global Vectra,,17.21, 46.54 new,0.00%,-%,15.85,10.00,24.21,227.01,1,4.02,10.23,9.42,183.00,62.40,162.15,Global Vectra,183.00,62.15,162.20
Globe Active,,NA,  new,NA,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,Globe Active,NA,NA,NA
Globe Internati,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Globe Internati,29.90,20.15,24.50
Globe Textiles,,NA, 85.71 new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Globe Textiles,52.95,43.70,51.65
Gloria Leasing ,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gloria Leasing ,NA,NA,NA
Glory Chemicals,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Glory Chemicals,NA,NA,NA
Glory Polyfilms,,15.93,  new,0.00%,-%,-,10.00,23.10,0.00,1,-,-,-,NA,NA,NA,Glory Polyfilms,NA,NA,NA
Gloster,,113.62,  new,60.00%,-%,24.17,10.00,12.72,0.00,1,-,-,-,NA,NA,NA,Gloster,NA,NA,NA
Goa Electricals,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Goa Electricals,NA,NA,NA
Godawari Power,,193.53, 49.96 new,0.00%,-%,-,10.00,13.79,403.81,1,545.71,-,0.59,127.00,51.50,114.60,Godawari Power,127.00,51.60,114.60
Godrej Consumer,,68.57, 85.57 new,1500.00%,1.42%,12.45,1.00,57.34,"71,941.70",1,79.53,84.83,15.40,1964.00,937.00,1056.10,Godrej Consumer,1083.00,636.10,1053.55
Goenka Business,,23.77,  new,0.00%,-%,0.06,10.00,39.26,109.53,1,842.50,"1,404.17",3.54,176.40,84.25,84.25,Goenka Business,NA,NA,NA
Goenka Diamond,,8.37, 100 new,0.00%,-%,-,1.00,18.79,10.46,1,-,-,0.04,0.99,0.33,0.33,Goenka Diamond,1.00,0.30,0.35
Goiex Michio,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Goiex Michio,NA,NA,NA
Gokaldas Export,,46.63, 48.71 new,0.00%,-%,-,5.00,40.41,319.69,1,-,-,1.96,112.80,48.00,91.50,Gokaldas Export,113.50,48.40,91.35
Gokul Agro,,14.54, 58.55 new,0.00%,-%,1.54,2.00,15.59,333.69,1,8.16,16.43,1.74,34.40,12.00,25.30,Gokul Agro,34.40,11.55,25.00
Gokul Refoils,,20.38, 45.33 new,0.00%,-%,0.02,2.00,15.59,319.85,1,39.11,"1,212.50",1.19,34.00,12.46,24.25,Gokul Refoils,33.20,11.40,24.60
Gold Multifab,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gold Multifab,NA,NA,NA
Goldcrest Corp,,67.37,  new,12.50%,-%,-,10.00,25.68,0.00,1,-,-,-,NA,NA,NA,Goldcrest Corp,NA,NA,NA
Golden Capital ,,10.11,  new,0.00%,-%,0.07,10.00,39.26,10.43,1,251.92,467.86,3.24,45.00,17.80,32.75,Golden Capital ,NA,NA,NA
Golden Goenka,,12.25, 96.31 new,0.00%,-%,0.61,5.00,39.26,161.89,1,13.95,13.95,0.69,9.28,3.00,8.51,Golden Goenka,NA,NA,NA
Good Luck,,105.50, 72.47 new,75.00%,1.63%,9.98,2.00,20.73,202.24,1,5.11,9.21,0.87,134.40,78.10,91.90,Good Luck,134.30,77.00,92.15
Goodearth Fin,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Goodearth Fin,NA,NA,NA
Goodearth Ind,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Goodearth Ind,NA,NA,NA
Goodricke Group,,135.13, 55.83 new,40.00%,1.77%,15.34,10.00,32.72,488.48,1,10.44,14.74,1.67,306.75,159.80,226.15,Goodricke Group,NA,NA,NA
Goodwill Hosp,,,,,,,,,,,,,,,,,Goodwill Hosp,,,
Goodyear,,306.54, 55.38 new,120.00%,1.36%,55.23,10.00,18.80,"2,038.73",1,12.65,16.00,2.88,944.65,518.00,883.85,Goodyear,NA,NA,NA
Gopala Poly,,23.15, 33.31 new,0.00%,-%,1.29,10.00,23.10,76.21,1,10.96,66.63,3.71,96.00,19.10,85.95,Gopala Poly,NA,NA,NA
Gordon Woodroff,,13.17,  new,0.00%,-%,4.08,5.00,7.21,0.00,1,-,-,-,NA,NA,NA,Gordon Woodroff,NA,NA,NA
Gothi Plascon,,5.96,  new,0.00%,-%,1.70,10.00,33.56,10.32,100,5.14,5.95,1.70,15.39,6.35,10.12,Gothi Plascon,NA,NA,NA
Govind Poy Oxyg,,65.61,  new,10.00%,-%,-,10.00,35.03,0.00,100,-,-,-,NA,NA,NA,Govind Poy Oxyg,NA,NA,NA
Grand Foundry,,-0.79,  new,0.00%,-%,0.39,10.00,22.56,0.00,1,-,-,-,NA,NA,NA,Grand Foundry,NA,NA,NA
Grandma Trading,,1.05,  new,0.00%,-%,* -,1.00,51.24,91.42,1,-,-,6.67,18.00,7.00,7.00,Grandma Trading,NA,NA,NA
Grapco Ind,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Grapco Ind,NA,NA,NA
Graphic Charts,,-2.49,  new,0.00%,-%,-,10.00,18.75,0.00,50,-,-,-,NA,NA,NA,Graphic Charts,NA,NA,NA
Graphite India,,94.78, 51.49 new,100.00%,1.03%,5.75,2.00,31.62,"3,795.17",1,24.68,33.78,2.05,207.45,70.10,194.25,Graphite India,207.50,70.00,193.75
Graviss Hosp,,28.21, 100 new,0.00%,-%,-,2.00,59.12,146.97,1,170.00,-,0.60,25.90,15.75,17.00,Graviss Hosp,NA,NA,NA
Green Fire Agri,,-2.43,  new,0.00%,-%,-,1.00,16.63,5.67,1,-,-,-,3.11,0.55,0.59,Green Fire Agri,3.10,0.40,0.50
Greenfield Corp,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Greenfield Corp,NA,NA,NA
Greenland Wareh,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Greenland Wareh,NA,NA,NA
Gremach CNC,,NA,  new,NA,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,Gremach CNC,NA,NA,NA
Gromo Trade,,13.93,  new,0.00%,-%,0.01,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Gromo Trade,NA,NA,NA
Grovy India,,22.34,  new,0.00%,-%,0.58,10.00,35.29,0.00,1,-,-,-,NA,NA,NA,Grovy India,NA,NA,NA
Growmore Solven,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Growmore Solven,NA,NA,NA
Guj Alkali,,357.68, 68.63 new,45.00%,1.11%,41.95,10.00,15.42,"2,964.28",1,7.07,9.62,1.13,483.80,239.00,403.65,Guj Alkali,484.05,237.00,403.75
Guj Ambuja Prot,,24.59,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Guj Ambuja Prot,NA,NA,NA
Guj Aqua,,1.98,  new,0.00%,-%,0.59,10.00,52.36,0.00,100,-,-,-,NA,NA,NA,Guj Aqua,NA,NA,NA
Guj Credit,,10.85,  new,0.00%,-%,-,10.00,39.26,73.75,1,-,-,2.72,29.80,14.65,29.50,Guj Credit,NA,NA,NA
Guj Heavy Chem,,135.31, 64.12 new,50.00%,2.17%,38.71,10.00,15.42,"2,300.74",1,4.87,5.95,1.70,298.80,205.00,230.30,Guj Heavy Chem,299.00,206.00,230.50
Guj Investa,,13.41,  new,0.00%,-%,0.09,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Guj Investa,NA,NA,NA
Guj Mineral,,116.07, 60.25 new,150.00%,2.11%,10.20,2.00,10.65,"4,525.14",1,9.52,13.95,1.23,159.75,78.00,142.30,Guj Mineral,159.75,76.70,142.65
Guj Narmada Kni,,10.63,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Guj Narmada Kni,NA,NA,NA
Guj Polyweave,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Guj Polyweave,NA,NA,NA
Guj Propack,,21.25,  new,0.00%,-%,0.06,0.00,65.00,0.00,1,-,-,-,NA,NA,NA,Guj Propack,NA,NA,NA
Guj Raffia Ind,,26.52, 100 new,0.00%,-%,1.57,10.00,23.10,14.11,1,5.66,17.99,1.07,33.95,9.00,28.25,Guj Raffia Ind,NA,NA,NA
Guj Stat Fin,,-235.03,  new,0.00%,-%,-,10.00,10.08,29.14,100,-,-,-,3.90,2.56,3.27,Guj Stat Fin,NA,NA,NA
Guj Terce Labs,,13.55, 100 new,0.00%,-%,-,10.00,29.58,8.17,1,-,-,0.81,18.20,7.73,11.01,Guj Terce Labs,NA,NA,NA
Gujarat Chemi,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gujarat Chemi,NA,NA,NA
Gujarat Pipavav,,41.77, 84.25 new,39.00%,2.64%,5.17,10.00,27.83,"7,147.66",1,20.06,28.60,3.54,197.35,121.20,147.85,Gujarat Pipavav,197.80,121.00,148.00
