,**MARKET CAP (Rs Cr),BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
Shiva Cement,,4.01, 80.64 new,0.00%,-%,-,2.00,42.58,464.10,1,-,-,5.94,33.50,4.84,23.80,Shiva Cement,NA,NA,NA
Shiva Granito E,,9.83, 83.33 new,0.00%,-%,* -,10.00,25.81,19.82,10000,-,-,1.53,15.91,8.00,15.00,Shiva Granito E,NA,NA,NA
Shivagrico Impl,,15.61,  new,0.00%,-%,0.21,10.00,12.55,3.61,1,2.58,34.29,0.46,13.12,4.90,7.20,Shivagrico Impl,NA,NA,NA
Shivom Investme,,8.60,  new,0.00%,-%,-,10.00,39.26,48.90,1,25.89,-,0.81,10.51,6.61,6.99,Shivom Investme,NA,NA,NA
Shree Ajit Pulp,,174.78, 100 new,7.50%,0.40%,11.95,10.00,11.71,101.24,1,8.56,15.82,1.08,308.70,137.00,189.00,Shree Ajit Pulp,NA,NA,NA
Shree Bhavya,,26.69, 100 new,0.00%,-%,0.80,10.00,22.67,7.44,1,2.18,9.79,0.29,9.18,4.65,7.83,Shree Bhavya,NA,NA,NA
Shree Cements,,2209.74, 53.32 new,1400.00%,0.80%,384.39,10.00,42.58,"60,897.21",1,23.85,45.48,7.91,20560.00,12555.00,17480.50,Shree Cements,20538.00,13010.00,17495.40
Shree Ganesh,,-75.83,  new,0.00%,-%,-,10.00,18.79,8.63,1,-,-,-,6.99,1.11,1.20,Shree Ganesh,7.15,1.55,1.55
Shree I-Jee Cem,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Shree I-Jee Cem,NA,NA,NA
Shree Mfg Co,,-7.13,  new,0.00%,-%,-,10.00,10.59,0.00,1,-,-,-,NA,NA,NA,Shree Mfg Co,NA,NA,NA
Shree Narmada,,-99.45,  new,0.00%,-%,-,10.00,96.78,0.00,100,-,-,-,NA,NA,NA,Shree Narmada,NA,NA,NA
Shree Nath Comm,,20.60,  new,0.00%,-%,0.25,10.00,39.26,1.16,1,3.68,3.68,0.04,2.01,0.92,0.92,Shree Nath Comm,NA,NA,NA
Shree Ram Urban,,44.56, 68.50 new,0.00%,-%,-,10.00,16.13,247.42,1,-,-,1.35,81.35,50.00,60.15,Shree Ram Urban,NA,NA,NA
Shree Secu,,11.98,  new,0.00%,-%,0.01,10.00,39.26,79.80,1,"1,000.00","1,000.00",0.83,10.00,10.00,10.00,Shree Secu,NA,NA,NA
Shree Steel Wir,,27.19,  new,0.00%,-%,1.58,10.00,69.88,5.68,1,8.98,10.85,0.63,21.30,10.50,17.15,Shree Steel Wir,NA,NA,NA
Shrenik,,NA, 34.57 new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Shrenik,82.50,40.00,79.15
Shreyans Ind,,88.02, 82.52 new,12.00%,0.69%,16.71,10.00,11.71,239.51,1,7.71,10.37,1.97,207.10,51.80,173.25,Shreyans Ind,207.45,49.20,171.05
Shreyas Shippin,,106.93, 60.78 new,0.00%,-%,1.86,10.00,14.21,754.02,1,34.86,184.62,3.21,398.00,193.10,343.40,Shreyas Shippin,398.00,191.05,339.65
Shri Baj Alloys,,31.22, 100 new,0.00%,-%,1.06,10.00,12.55,16.47,1,12.53,17.26,0.59,25.30,13.80,18.30,Shri Baj Alloys,NA,NA,NA
Shri Bhawani,,-73.07,  new,0.00%,-%,-,10.00,11.71,8.88,1,-,-,-,4.70,2.47,2.55,Shri Bhawani,NA,NA,NA
Shri Dinesh Mil,,204.79, 63.98 new,15.00%,1.07%,4.80,10.00,118.03,71.00,1,7.11,29.09,0.68,164.00,100.00,139.65,Shri Dinesh Mil,NA,NA,NA
Shri Krishna,,21.76,  new,0.00%,-%,0.71,10.00,35.29,40.07,1,17.89,20.15,0.66,16.90,11.17,14.31,Shri Krishna,NA,NA,NA
Shri Mahalaxmi,,5.42,  new,0.00%,-%,0.03,5.00,442.37,0.00,1,-,-,-,NA,NA,NA,Shri Mahalaxmi,NA,NA,NA
Shri Rajiv Oil,,14.26,  new,0.00%,-%,0.03,10.00,16.71,0.00,100,-,-,-,NA,NA,NA,Shri Rajiv Oil,NA,NA,NA
Shri Shakti LPG,,1.48,  new,0.00%,-%,-,2.00,24.31,0.00,1,-,-,-,NA,NA,NA,Shri Shakti LPG,NA,NA,NA
Shricon Ind,,16.64,  new,0.00%,-%,2.17,10.00,39.26,2.11,1,7.83,7.83,1.02,19.20,12.64,17.00,Shricon Ind,NA,NA,NA
Shriram Inv,,31.86,  new,25.00%,-%,8.23,0.00,109.05,0.00,1,-,-,-,NA,NA,NA,Shriram Inv,NA,NA,NA
Shriram Mutual,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Shriram Mutual,NA,NA,NA
Shriram Pistons,,356.46, 100 new,40.00%,0.17%,52.79,10.00,37.00,0.00,1,25.17,-,6.57,NA,NA,NA,Shriram Pistons,2972.80,1108.95,2340.75
Shruti Synth,,17.19,  new,NA,-%,-,0.00,-,0.00,50,-,-,-,NA,NA,NA,Shruti Synth,NA,NA,NA
Shukla Data Tec,,NA,  new,NA,-%,-,NA,-,3.50,NA,-,-,-,10.00,10.00,10.00,Shukla Data Tec,NA,NA,NA
Shukra Capitals,,10.14,  new,0.00%,-%,0.02,10.00,22.37,0.00,1,-,-,-,NA,NA,NA,Shukra Capitals,NA,NA,NA
Shyam Century,,4.27, 94.91 new,0.00%,-%,0.24,1.00,9.11,210.18,1,27.82,39.42,2.22,11.52,6.00,9.46,Shyam Century,11.25,5.75,9.15
Shyam Telecom,,3.48, 100 new,0.00%,-%,-,10.00,21.56,18.03,1,-,-,4.60,40.35,15.40,16.00,Shyam Telecom,40.25,19.55,19.55
Shyam Vinyls,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Shyam Vinyls,NA,NA,NA
Shyamlal Hol,,13.01,  new,0.00%,-%,-,10.00,27.21,0.00,50,-,-,-,NA,NA,NA,Shyamlal Hol,NA,NA,NA
Sibar Software,,4.69,  new,0.00%,-%,* -,10.00,18.34,0.00,1,-,-,-,NA,NA,NA,Sibar Software,NA,NA,NA
Sicagen India,,107.33, 37.18 new,6.00%,1.49%,1.88,10.00,51.24,159.47,1,17.68,21.44,0.38,47.25,18.15,40.30,Sicagen India,47.30,18.00,40.25
Siddhi Vinay Me,,15.41,  new,NA,-%,* -,0.00,1.25,0.00,100,-,-,-,NA,NA,NA,Siddhi Vinay Me,NA,NA,NA
Siel Finan,,-9.41,  new,0.00%,-%,0.26,10.00,39.26,0.00,100,-,-,-,NA,NA,NA,Siel Finan,NA,NA,NA
Sika Interplant,,99.18, 100 new,8.00%,0.39%,4.14,10.00,27.65,86.08,1,36.78,49.03,2.05,255.00,116.10,203.00,Sika Interplant,NA,NA,NA
Sikko Industrie,,NA, 100 new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Sikko Industrie,46.00,34.30,39.00
Silktex,,22.97,  new,0.00%,-%,-,10.00,16.60,0.00,1,-,-,-,NA,NA,NA,Silktex,NA,NA,NA
Silver Oak,,10.39,  new,0.00%,-%,-,10.00,94.25,6.37,1,-,-,1.62,17.37,11.62,16.80,Silver Oak,NA,NA,NA
Silver Oak Comm,,14.72,  new,0.00%,-%,1.67,10.00,51.24,0.00,1,-,-,-,NA,NA,NA,Silver Oak Comm,NA,NA,NA
Silverline,,24.17,  new,0.00%,-%,-,10.00,18.34,0.00,1,-,-,-,NA,NA,NA,Silverline,NA,NA,NA
