,Company Name,MC Link
158,Gandhinagar Hot,http://www.moneycontrol.com/india/stockpricequote/hotels/gandhinagarhotels/GH
159,Sunstrchem,http://www.moneycontrol.com/india/stockpricequote/chemicals/sunstarchemicals/SC38
160,Jocil,http://www.moneycontrol.com/india/stockpricequote/chemicals/jocil/J01
161,Asya Infosoft,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/asyainfosoft/SHF
162,Asian Vegpro,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/asianvegproindustries/AVI03
163,Forge and Blowe,http://www.moneycontrol.com/india/stockpricequote/engineering/forgeblowerindustries/FBI
164,Bank Nifty,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/banknifty/BN01
165,Confro Agro,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/confroagro/CA06
166,IZMO,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/izmo/LM02
167,Hotel Leela,http://www.moneycontrol.com/india/stockpricequote/hotels/hotelleelaventure/HLV
168,Facor Alloys,http://www.moneycontrol.com/india/stockpricequote/miningminerals/facoralloys/FA
169,Moulik Finance ,http://www.moneycontrol.com/india/stockpricequote/hotels/moulikfinanceresort/MFR
170,MovingPicture,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/movingpicturecoindia/MPC02
171,Gccl Constr,http://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/gcclconstructions/GCC03
172,NDA Securities,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/ndasecurities/NDA
173,Techno Electric,http://www.moneycontrol.com/india/stockpricequote/electricequipment/technoelectricengineeringcompany/TEE
174,Sterling H Fin,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/sterlingholidayfinancialservices/SHF01
175,Akshay Software,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/akshaysoftware/AS21
176,Presto Finance ,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/prestofinance/PFL01
177,SC Agrotech,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/scagrotech/SI17
178,Gini Silk Mills,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/ginisilkmills/GSM01
179,Preeti Sec,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/preetisecurities/PS11
180,Saven Tech,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/saventechnologies/ST14
181,Jaswal Granites,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/jaswalgranites/JGL01
182,Alexcon Extr,http://www.moneycontrol.com/india/stockpricequote/aluminium/alexconextrusions/AE03
183,AMD Industries,http://www.moneycontrol.com/india/stockpricequote/packaging/amdindustries/AMD02
184,Shree Ganesh,http://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/shreeganeshjewelleryhousei/SGJ
185,Siraga Aqua,http://www.moneycontrol.com/india/stockpricequote/aquaculture/siragaaquafarmsexports/SAF05
186,Gangotri Iron,http://www.moneycontrol.com/india/stockpricequote/steelrolling/gangotriironsteelcompany/GIS01
187,Cigniti Tech,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/cignititechnologies/CI42
188,Hind Agro Chem,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/hindustanagrochemicals/HAC
189,Gokul Agro,http://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/gokulagroresources/GAR
190,Dilip Buildcon,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/dilipbuildcon/DB04
191,Devki Leasing,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/devkileasingfinance/DLF01
192,Datamatics Glob,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/datamaticsglobalservices/DGS01
193,Dynamic Ind,http://www.moneycontrol.com/india/stockpricequote/dyespigments/dynamicindustries/DI17
194,Roxy Exports,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/roxyexports/RE10
195,Avon Mercantile,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/avonmercantile/AML
